Address	Segments	Content Type	Status Code	Status	Indexability	Indexability Status	Title 1	Title 1 Length	Title 1 Pixel Width	Meta Description 1	Meta Description 1 Length	Meta Description 1 Pixel Width	Meta Keywords 1	Meta Keywords 1 Length	H1-1	H1-1 Length	H1-2	H1-2 Length	H2-1	H2-1 Length	H2-2	H2-2 Length	Meta Robots 1	X-Robots-Tag 1	Meta Refresh 1	Canonical Link Element 1	"rel=""next"" 1"	"rel=""prev"" 1"	"HTTP rel=""next"" 1"	"HTTP rel=""prev"" 1"	amphtml Link Element	Size (bytes)	Transferred (bytes)	Total Transferred (bytes)	CO2 (mg)	Carbon Rating	Word Count	Sentence Count	Average Words Per Sentence	Flesch Reading Ease Score	Readability	Text Ratio	Crawl Depth	Folder Depth	Link Score	Inlinks	Unique Inlinks	Unique JS Inlinks	% of Total	Outlinks	Unique Outlinks	Unique JS Outlinks	External Outlinks	Unique External Outlinks	Unique External JS Outlinks	Closest Near Duplicate Match	No. Near Duplicates	Spelling Errors	Grammar Errors	Hash	Response Time	Last Modified	Redirect URL	Redirect Type	Cookies	Language	HTTP Version	Response Header: accept-ranges	Response Header: content-encoding	Response Header: content-length	Response Header: date	Response Header: etag	Response Header: server	Response Header: strict-transport-security	Response Header: vary	Response Header: x-content-type-options	Response Header: x-powered-by	Response Header: cache-control	Response Header: expires	Clicks	Impressions	CTR	Position	Mobile Alternate Link	Closest Semantically Similar Address	Semantic Similarity Score	No. Semantically Similar	Semantic Relevance Score	URL Encoded Address	Crawl Timestamp
https://www.aleexandriadentalhealth.com/restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.056						2.0		br		"Fri, 27 Jun 2025 16:18:04 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	2025-06-27 11:18:04
https://www.aleexandriadentalhealth.com/gtm5445.htmlGTM-NJ84VHV7	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	1	0		0	0	0	0	0	0	0	0	0	0						0.213						2.0		br		"Fri, 27 Jun 2025 16:17:26 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/gtm5445.htmlGTM-NJ84VHV7	2025-06-27 11:17:26
https://www.aleexandriadentalhealth.com/restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.716						2.0		br		"Fri, 27 Jun 2025 16:18:03 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	2025-06-27 11:18:03
https://www.aleexandriadentalhealth.com/full-mouth-reconstruction/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.199						2.0		br		"Fri, 27 Jun 2025 16:18:09 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/full-mouth-reconstruction/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	2025-06-27 11:18:09
https://www.aleexandriadentalhealth.com/full-mouth-reconstruction/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.057						2.0		br		"Fri, 27 Jun 2025 16:18:09 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/full-mouth-reconstruction/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	2025-06-27 11:18:09
https://www.aleexandriadentalhealth.com/cosmetic-restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.083						2.0		br		"Fri, 27 Jun 2025 16:18:35 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/cosmetic-restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	2025-06-27 11:18:35
https://www.aleexandriadentalhealth.com/cosmetic-restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.062						2.0		br		"Fri, 27 Jun 2025 16:18:35 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/cosmetic-restorative/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	2025-06-27 11:18:35
https://www.aleexandriadentalhealth.com/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.059						2.0		br		"Fri, 27 Jun 2025 16:18:53 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.ttf	2025-06-27 11:18:53
https://www.aleexandriadentalhealth.com/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.155						2.0		br		"Fri, 27 Jun 2025 16:18:52 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff2	2025-06-27 11:18:53
https://www.aleexandriadentalhealth.com/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	Title - Empty	text/html; charset=iso-8859-1	404	Aborted	Non-Indexable	Client Error		0	0		0	0		0		0		0		0		0										0	0	0	0	A+	0					0	2	8		0	0	0	0	0	0	0	0	0	0						0.061						2.0		br		"Fri, 27 Jun 2025 16:18:53 GMT"		nginx	max-age=15768000; includeSubDomains	Accept-Encoding	nosniff													https://www.healyslaw.net/dental-cavities-solutions/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/webfonts/fa-solid-900.woff	2025-06-27 11:18:53
